#,EQUIPO,PJ,Over,Under,GOLES,G/M
1,Santos Laguna,14,13,1,17:35,3.7
2,Chivas de Guadalajara,14,10,4,28:17,3.2
3,Juárez,14,10,4,21:24,3.2
4,Atl. San Luis,14,9,5,21:23,3.1
5,Mazatlán FC,14,9,5,16:28,3.1
6,Club León,14,9,5,16:24,2.9
7,Tigres UANL,14,9,5,22:16,2.7
8,Necaxa,14,9,5,17:20,2.6
9,Cruz Azul,14,8,6,25:15,2.9
10,Pumas de la UNAM,14,7,7,26:15,2.9
11,Pachuca,14,7,7,21:13,2.4
12,Querétaro,14,7,7,13:18,2.2
13,Club Tijuana,14,7,7,15:15,2.1
14,Monterrey,14,6,8,19:17,2.6
15,Atlas,14,6,8,14:18,2.3
16,Puebla,14,6,8,11:17,2.0
17,Toluca,14,4,10,20:9,2.1
