#,EQUIPO,PJ,W/W,D/W,D/D,D/L,L/W,L/D,L/L,PUNTOS
1,Chivas,14,8,0,1,0,0,1,1,31
2,Cruz Azul,14,6,1,2,2,1,0,1,28
3,Pachuca,14,5,0,2,2,0,1,2,28
4,Pumas UNAM,14,4,2,2,2,1,1,0,27
5,Toluca,14,2,2,4,4,1,1,0,27
6,Tigres UANL,14,3,0,3,2,2,0,0,20
7,Club América,14,3,0,2,4,2,0,0,19
8,Atlas,14,3,0,1,3,0,1,1,19
9,Club León,14,3,1,2,0,1,1,0,19
10,Club Tijuana,14,3,2,1,4,2,0,0,18
11,Juárez,14,3,0,1,2,3,0,2,16
12,Necaxa,14,3,0,2,1,2,0,0,16
13,Monterrey,14,4,1,0,2,3,0,0,15
14,Atl. San Luis,14,1,1,2,1,3,1,1,15
15,Querétaro,14,2,0,1,6,2,0,0,15
16,Puebla,14,2,0,1,4,4,0,0,13
17,Mazatlán FC,14,2,0,1,1,2,0,1,11
18,Santos Laguna,14,0,1,2,2,1,0,0,9
