ID_Juego,Fecha_Hora_UTC,Equipo_Local,Equipo_Visitante,Marcador_Local,Marcador_Visitante,Status_Completado
18200eb582e3bee33b38016accc8cc4e,2026-04-19T01:39:00Z,Los Angeles Angels,San Diego Padres,,,False
de78c77cca84245548d38b8c40c65391,2026-04-19T00:11:00Z,Colorado Rockies,Los Angeles Dodgers,,,False
6e5129c6e0fc6e1f6fcaff97e0a79ebc,2026-04-19T00:11:00Z,Arizona Diamondbacks,Toronto Blue Jays,,,False
b4b4c5e63320cc913bd4ac9d7c447f23,2026-04-18T23:16:00Z,Seattle Mariners,Texas Rangers,,,False
912d3bf4c4f1b996c5903aa3b6e3bc2a,2026-04-18T23:16:00Z,Philadelphia Phillies,Atlanta Braves,,,False
23317fc37d8b970abb36b16450935fe2,2026-04-18T23:11:00Z,Houston Astros,St. Louis Cardinals,,,False
38325b462bdab2c582eec8fa2fe82395,2026-04-18T22:11:00Z,Cleveland Guardians,Baltimore Orioles,,,False
f191de07e9e709e1723e5815840236c0,2026-04-18T20:11:00Z,Miami Marlins,Milwaukee Brewers,,,False
53626d17dd82b37d118427fbbb6fda67,2026-04-18T20:11:00Z,Boston Red Sox,Detroit Tigers,,,False
ff3a4cea8f327d320fac1af61a34e8c3,2026-04-18T20:06:00Z,Washington Nationals,San Francisco Giants,,,False
9b611b49a26ba77a07349b2b50bab4ad,2026-04-18T20:06:00Z,Pittsburgh Pirates,Tampa Bay Rays,,,False
c3b12d49874633d7b722325998bebdd3,2026-04-18T20:06:00Z,Athletics,Chicago White Sox,,,False
2ea66f343279c5bb39b4cb87f04810e7,2026-04-18T18:21:00Z,Chicago Cubs,New York Mets,,,False
e2145c6f89c91d068baad1ef60cb1205,2026-04-18T18:11:00Z,Minnesota Twins,Cincinnati Reds,,,False
779cfb39de4fd07ffa6e5e9e2a7fec4d,2026-04-18T17:36:00Z,New York Yankees,Kansas City Royals,,,False
ed205a37de8d35d5fe44ef82f8644637,2026-04-18T01:41:00Z,Arizona Diamondbacks,Toronto Blue Jays,,,False
4dab71b3bef20d97c215141ed121a95b,2026-04-18T01:41:00Z,Athletics,Chicago White Sox,,,False
0d33220f9d453b16cf8525818ee29051,2026-04-18T01:41:00Z,Seattle Mariners,Texas Rangers,,,False
49988d9d2bd029a05b88766f7a72ca27,2026-04-18T01:39:00Z,Los Angeles Angels,San Diego Padres,,,False
e0edf79975e2cd47e757ea67749e43fd,2026-04-18T00:41:00Z,Colorado Rockies,Los Angeles Dodgers,,,False
261a880b71d678f267d194c3e11c1880,2026-04-18T00:11:00Z,Houston Astros,St. Louis Cardinals,,,False
7e51baba35f9e72d4028c265cbceb500,2026-04-18T00:11:00Z,Minnesota Twins,Cincinnati Reds,,,False
f396e7f6c0d265d701a8b7123bbcee83,2026-04-17T23:16:00Z,Boston Red Sox,Detroit Tigers,,,False
6c36be674cd46d59ac8a57a727b8a4ca,2026-04-17T23:11:00Z,Miami Marlins,Milwaukee Brewers,,,False
a1ab635fdacdca4f7d8f471d141a873f,2026-04-17T23:06:00Z,New York Yankees,Kansas City Royals,,,False
72adcb72b594dcf90c1756f4f9358d4c,2026-04-17T22:46:00Z,Washington Nationals,San Francisco Giants,,,False
534d4f4aa2042d0efb0d307c77b7b0bf,2026-04-17T22:46:00Z,Pittsburgh Pirates,Tampa Bay Rays,,,False
7067ff8b35400b4b9c0c1b2cf807fe58,2026-04-17T22:41:00Z,Philadelphia Phillies,Atlanta Braves,,,False
3eb605c9b25ccc2ad16334a2f4a4c17e,2026-04-17T22:11:00Z,Cleveland Guardians,Baltimore Orioles,,,False
45655eea8b0523564f56d5ba45520388,2026-04-17T18:21:00Z,Chicago Cubs,New York Mets,12,4,True
34fa181a3e06104ac8bb8d652bffbae7,2026-04-17T00:40:43Z,San Diego Padres,Seattle Mariners,5,2,True
2813553c6a0cdab5c77497cf373aa7af,2026-04-17T00:11:00Z,Houston Astros,Colorado Rockies,2,3,True
50a6b335289549d2d3f41d9072e8d031,2026-04-16T22:11:00Z,Cleveland Guardians,Baltimore Orioles,4,2,True
