ID_Juego,Fecha_Hora_UTC,Equipo_Local,Equipo_Visitante,Marcador_Local,Marcador_Visitante,Status_Completado
04e3ad1ccbad6419ac711ff120fd5cbe,2026-04-20T01:10:00Z,San Antonio Spurs,Portland Trail Blazers,,,False
00d1efd43d0790297fb68684a9171191,2026-04-19T17:10:00Z,Boston Celtics,Philadelphia 76ers,,,False
1a9383105929a09e5662227ad45554b8,2026-04-19T00:40:00Z,Los Angeles Lakers,Houston Rockets,,,False
bee2c9ea4bf8df373aa45af7005b583d,2026-04-18T22:10:00Z,New York Knicks,Atlanta Hawks,,,False
526f783434e5dabca25ee032d8fee612,2026-04-18T19:40:00Z,Denver Nuggets,Minnesota Timberwolves,,,False
2a8e5a45f1bcb477a6f9cbd7739d005e,2026-04-18T17:10:00Z,Cleveland Cavaliers,Toronto Raptors,,,False
c8d1b7fd06c21e259b9416daf596f023,2026-04-18T02:10:00Z,Phoenix Suns,Golden State Warriors,,,False
fc16dfbe5b438857b93902fa811dd8f6,2026-04-17T23:40:00Z,Orlando Magic,Charlotte Hornets,,,False
7cfae0891b99865ef7fc9d357b69ca28,2026-04-16T02:17:53Z,Los Angeles Clippers,Golden State Warriors,121,126,True
f7264c00c662a127d58f4ab12fc498bc,2026-04-15T23:40:47Z,Philadelphia 76ers,Orlando Magic,109,97,True
0999cb23cd03811476b378dd4045ea16,2026-04-15T02:15:47Z,Phoenix Suns,Portland Trail Blazers,110,114,True
25f53495c4044a1d8fb682e3715eb7b3,2026-04-14T23:41:04Z,Charlotte Hornets,Miami Heat,127,126,True
